hits|visits|day|identifier|orders|amount|product_pages|direct_visit|organic_visit|paid_search_visit|email_visit
184513|37830|2019-04-16|96|62299|2340494.7399990857|16705|10176|5385|1117|0
37392|6911|2019-09-09|96|54046|2207031.849998993|23772|17162|6450|45|0
31749|5718|2019-09-08|96|1896|73210.50999999953|20508|14826|5635|0|0
117299|21587|2020-01-18|96|64909|2888055.51999936|80669|56644|18544|4189|0
31417|8807|2019-07-14|96|1637|66696.83999999981|3317|1607|1639|66|0
51657|9010|2019-08-20|96|62833|2568012.0699993167|32862|24375|7717|703|0
46142|8541|2019-11-04|96|54828|2247425.7199989557|30814|21629|9081|14|0
93141|19294|2020-03-20|96|554|54846.44000000018|55994|38820|14344|2249|0
31758|5674|2019-08-25|96|1977|76423.61999999973|20626|15256|5165|148|0
40450|7733|2019-11-13|96|52057|2160687.8699990367|27019|18783|8130|11|0
155886|30844|2020-03-14|96|85400|4459995.9600024745|107261|71294|27148|7472|0
35820|6637|2019-11-03|96|1860|70733.62999999986|24343|16836|7416|11|0
150414|30066|2019-06-02|96|2845|124770.04999999766|20484|13412|6615|391|27
206883|39616|2019-06-01|96|87381|4257462.340001108|27089|17845|8855|331|12
122229|21971|2020-01-29|96|42823|1640990.939999399|81919|54326|20599|4613|1529
109155|20041|2020-01-28|96|42941|1703977.9499993632|74864|50581|18642|4079|800
177163|35995|2019-04-26|96|67131|2640851.159999601|16211|10077|5617|496|0
33502|6412|2019-09-11|96|49881|2007965.7199990824|21341|15554|5637|16|0
32290|6103|2019-10-20|96|1629|65292.79000000001|20458|14430|5919|6|0
81768|14826|2019-12-05|96|45067|1862525.10999922|55977|44449|10654|673|0
79672|14377|2019-12-04|96|49085|2091291.3899990856|54002|41628|11433|663|0
38979|7206|2019-09-16|96|50278|2051097.4499990703|25863|18919|6773|12|0
108533|19447|2020-01-21|96|41969|1711111.8199993698|73754|50756|18331|3666|0
117523|20856|2020-01-20|96|45514|1823903.609999237|80737|57630|19280|2495|0
198665|40104|2019-04-20|96|97868|4720884.6000029715|16614|10483|5546|526|10
172873|35133|2019-05-14|96|64855|2508155.8699992024|23204|14942|7788|396|2
37142|6967|2019-10-18|96|50347|1878689.1899991129|23000|15989|6853|31|4
81807|14531|2019-11-20|96|44990|1670048.799999371|53376|41495|11675|31|0
80441|14453|2019-11-19|96|45780|1751165.4299992712|51374|39868|11314|16|0
129700|23433|2020-02-19|96|48952|1890514.7799991646|87698|58476|22711|5260|2
157605|33291|2019-05-01|96|85|2080.8300000000017|22272|14535|7053|635|0
54092|14680|2019-07-06|96|77794|4023702.7900004713|5741|3081|2535|95|2
31805|5870|2019-09-22|96|1758|67740.86999999997|20643|14574|5968|15|0
33118|6204|2019-09-13|96|50727|2061065.2399990198|21607|15333|6164|10|0
36388|6733|2019-10-10|96|50228|2156738.159999061|23291|16433|6749|5|0
40676|7659|2019-10-22|96|51666|2029164.919999028|25588|18507|6962|46|0
41754|7473|2019-09-04|96|50019|1971408.769999104|25698|18918|6672|42|0
37728|7026|2019-09-21|96|64949|3003450.929999458|24664|18076|6459|29|0
60481|15576|2019-06-14|96|59639|2465081.719999109|7184|3569|3469|130|1
57078|10092|2019-08-07|96|66820|2986075.2599994894|34800|26519|6907|1307|1
227312|42979|2019-05-09|96|83872|5272186.0300036315|29552|18900|10072|488|18
119031|22377|2020-02-12|96|50698|2013924.4699990887|82137|54402|20888|5051|7
38838|7433|2019-10-24|96|52682|2094408.959999017|25564|18396|7059|9|8
181967|35743|2019-05-25|96|94696|4281600.860001094|23669|15505|7859|262|2
170631|33584|2019-05-24|96|68906|2898648.0599990883|22568|14562|7706|245|0
66180|12530|2019-12-31|96|37328|1438262.8799996153|46488|34181|10145|1599|0
47435|12943|2019-06-30|96|2561|111725.1299999984|5993|3218|2590|175|0
41091|7484|2019-08-29|96|50968|2095809.6699990374|26253|19155|6893|131|0
40795|9431|2019-07-16|96|58559|2416109.159999179|3392|2022|1330|30|0
196976|40586|2019-04-15|96|69346|2770435.5799997174|17590|10665|5545|1343|6
134339|25101|2020-01-10|96|48885|2145341.639999059|96638|71038|18870|3772|10
154557|28601|2020-01-09|96|44520|2020301.5399991537|113823|86010|19446|3770|0
192735|39190|2019-04-24|96|65774|2593619.759999571|16921|10436|5888|548|2
59920|11064|2019-08-05|96|69861|3011844.259999602|37105|28778|7310|966|9
40025|7368|2019-10-15|96|48166|1913386.999999103|24524|16644|7787|16|0
455346|80424|2020-05-13|96|62054|3470163.5700007915|307143|176215|117204|354|0
104663|25523|2020-03-16|96|16967|1308735.039999805|57593|39257|14342|3098|0
87564|20532|2020-03-15|96|232|19798.85000000005|54501|35328|13382|4531|0
143841|26578|2020-03-02|96|51981|2058474.949998969|99492|64242|25584|8314|0
62620|16937|2019-06-21|96|61507|2829041.639999215|7331|3763|3397|148|0
100576|18073|2019-12-09|96|50513|2044238.129998973|69006|53901|14193|618|0
94053|17133|2020-03-03|96|49351|1932534.1399991238|65345|43411|17847|3216|0
50797|9531|2019-11-02|96|83345|3937332.090001612|33761|24087|9589|20|0
120459|21161|2020-01-02|96|48010|2009789.0499990587|84981|62341|19386|2417|0
49950|9349|2019-08-02|96|58821|2210232.9699989413|31306|24914|5513|822|1
82979|15760|2019-12-17|96|44714|1736139.2199992896|57267|42742|11815|2217|0
1504029|153831|2020-04-12|96|49|2962.2300000000014|970908|511320|298020|85660|0
143074|26049|2020-02-17|96|53847|2130492.0399989467|98276|65622|25029|5910|3
32756|6024|2019-10-06|96|1854|78116.80999999969|21263|15293|5917|4|0
126988|25902|2019-05-26|96|2896|109821.11999999805|17400|11196|5837|343|2
70389|18602|2019-06-22|96|86797|4642657.030002026|8243|4502|3570|129|4
78591|20187|2019-06-08|96|88977|4038631.530001029|8852|4539|4196|59|0
122530|24573|2020-02-24|96|53067|2095023.8499989728|81077|53060|21015|5690|0
118161|21636|2020-02-11|96|48260|1846007.5999992013|79882|53593|20591|4500|1
41804|7802|2019-11-06|96|52869|2257776.579998976|27260|18843|8302|24|0
56991|15500|2019-07-03|96|60888|2845085.129999263|6549|3416|3048|71|3
120110|23058|2020-03-08|96|2237|92905.63999999901|85030|55564|20585|7571|2
191955|38511|2019-05-13|96|69265|2784636.8799997317|25340|16408|8428|420|0
109927|19668|2020-01-12|96|1919|99598.5199999982|80483|56735|16054|4901|0
89551|16391|2019-12-06|96|51794|2176042.6399990227|61798|48425|12362|760|0
40668|7264|2019-08-11|96|2160|89557.81999999957|25905|19225|5637|1004|4
124417|23278|2020-02-15|96|70913|3093309.1499998663|86121|57223|21395|5834|5
93332|17436|2019-12-14|96|69608|3283324.29000006|63943|49625|13089|970|0
59023|16072|2019-07-02|96|58667|2531497.0999992127|6849|3602|3127|84|0
41135|7633|2019-11-07|96|51120|2192816.9499989827|27110|18774|8247|16|0
104860|19414|2020-02-07|96|49275|1942388.8499991475|72129|48116|18587|4648|11
39116|7014|2019-09-05|96|49141|1898493.1899990926|24875|18313|6468|44|0
108121|19227|2020-01-06|96|42957|1687094.4799993755|75321|54978|16678|3023|0
50683|9152|2019-08-17|96|71281|3085935.63999992|31988|23991|7094|852|0
183368|39675|2019-04-23|96|71698|2730533.7799997083|16290|10047|5768|438|0
187592|40183|2019-04-22|96|42495|6213513.290005354|16361|9455|5636|1230|1
77581|14418|2019-11-25|96|48527|1916810.6199990963|52359|40122|11740|304|0
163829|31932|2019-05-05|96|2621|101419.68999999881|22822|14562|7533|662|0
211381|41367|2019-05-04|96|95427|4308183.150000921|28340|18306|9336|647|0
143553|25195|2020-02-27|96|45639|1720347.6799992754|97971|65292|25470|5692|0
1548062|171609|2020-04-18|96|33660|2500503.3199994955|1001525|504910|164606|10513|0
192581|39838|2019-04-19|96|72264|2826946.549999713|16214|10138|5487|542|12
114220|20458|2020-01-14|96|42775|1740060.619999303|81764|57590|18566|3795|0
116711|21579|2020-01-25|96|64349|2897848.699999535|81122|56111|19744|4240|0
177811|34434|2019-07-19|96|56278|2157307.629998872|98336|20847|76466|60|10
41420|7769|2019-11-08|96|56246|2504249.5899992464|27510|19232|8221|13|0
96276|17619|2020-01-26|96|1624|63712.94999999994|68460|45972|16436|5058|0
93920|16452|2019-11-18|96|50874|2032330.3699990013|60151|47155|12823|69|0
52670|9734|2019-08-03|96|97165|8410516.100014083|32439|26164|5322|913|1
64791|11232|2019-08-12|96|73217|3177414.6100003687|39392|28988|8982|1286|25
38978|6889|2019-08-18|96|1824|69817.88|25163|18201|6155|729|0
224923|42988|2019-05-31|96|92278|4283703.3100014|29418|19200|9819|325|35
107317|20557|2020-01-22|96|43396|1839906.7799993136|73700|50680|17627|4283|0
138868|26307|2020-02-22|96|84455|5792484.710006599|94943|63424|22644|7622|0
37683|7020|2019-08-04|96|2252|91191.55999999904|24100|19286|3999|745|2
95073|17499|2020-02-02|96|1740|74181.6799999998|67127|44958|15988|5358|113
168970|33795|2019-05-17|96|66925|2631430.1399991685|22526|14381|7766|304|1
38426|7063|2019-10-03|96|49286|2120571.52999902|24280|17461|6655|17|0
64229|16508|2019-06-13|96|55871|2269678.6799990167|7385|3568|3634|155|5
94039|23916|2019-06-10|96|42690|4213615.660000446|10563|5617|4851|52|8
38434|7137|2019-10-17|96|46553|1774969.4399992619|23825|16734|6992|24|0
114861|20566|2020-01-03|96|50188|2017695.5099990629|80556|58499|18937|2437|0
132044|28899|2019-07-21|96|2394|98367.20999999881|76329|17323|58045|82|13
126881|22873|2020-02-18|96|49179|1888520.3699991512|87367|57207|23193|5454|3
93662|17471|2020-02-14|96|52671|2084005.429998987|64175|42712|16464|3458|4
71731|13212|2019-11-22|96|48468|1930432.9599991087|48449|37582|10507|78|0
182780|37937|2019-04-18|96|65574|2415143.909999181|15500|9683|5610|175|2
230982|38114|2019-07-18|96|54441|2122025.049998863|79058|18841|59352|61|14
76366|13861|2019-12-08|96|3270|173380.27999999662|53071|41824|10499|514|0
112678|20549|2020-01-30|96|54267|4484845.13000157|75558|50065|20188|3449|1109
137295|25577|2020-03-04|96|52612|2194034.7699989513|95066|63251|25407|4692|0
213849|40489|2019-05-10|96|81465|5047955.510002878|28017|18101|9351|464|1
2333616|211914|2020-04-09|96|13096|1016932.0900000696|1453131|745226|464421|63224|0
119205|22031|2020-02-08|96|69096|2996155.1699995445|82049|54860|20773|5504|7
162165|32321|2019-04-28|96|0||22803|14639|7082|1039|0
199073|39049|2019-04-27|96|90657|4024879.5000005686|17716|11109|6180|379|0
196370|41358|2019-07-24|96|52375|2374166.119998997|110492|24611|84565|90|5
75694|19197|2019-06-06|96|57540|2395602.0799990315|8831|4259|4360|187|8
270886|37868|2020-03-26|96|853|73124.09999999977|172026|113338|41436|12707|0
219701|32162|2020-03-25|96|677|53995.770000000055|139778|92779|33052|11379|2
619484|107639|2020-05-07|96|70138|3935369.080001264|404385|222883|146147|361|0
850471|113063|2020-04-26|96|84|4615.259999999994|567139|334418|220073|619|0
848250|121544|2020-04-29|96|46081|2931653.72999978|561409|315032|212962|533|3
496641|88355|2020-05-10|96|172|11515.809999999963|342318|187818|120470|346|2
689258|119825|2020-05-09|96|85461|5125741.26000704|458697|256209|169566|391|0
1303829|127650|2020-04-04|96|8144|648931.1700000381|796092|424222|230455|31854|0
810036|125671|2020-05-04|96|56648|3381961.4400005117|539113|295457|193089|466|0
882280|89439|2020-03-31|96|3909|323764.2200000046|541089|290179|156719|25718|0
1698968|181861|2020-04-20|96|34393|2559061.569999407|1097542|525602|167621|4832|0
36387|6779|2019-09-17|96|47345|1920208.189999145|23124|16975|5963|29|0
31304|5873|2019-10-13|96|1835|72039.96999999993|19624|13748|5771|36|0
30904|5713|2019-09-29|96|1798|74513.58999999957|20412|14696|5589|27|0
61475|16654|2019-07-08|96|62564|2814603.569999312|6560|3602|2835|99|0
152672|27866|2020-02-29|96|85595|5795897.010006871|103881|68803|26348|7237|0
49472|8704|2019-08-22|96|57828|2395629.259999136|31998|23987|7718|210|0
38247|6969|2019-09-25|96|47591|1996470.7899991325|24464|17141|7147|46|0
55121|9973|2019-08-15|96|29208|3662371.810000072|31946|23180|7802|873|0
115856|22429|2020-03-13|96|58259|2715298.7599993558|80211|52989|21014|5098|0
48067|8799|2019-08-10|96|75828|3349578.650000443|30260|22612|6390|1187|1
82114|15093|2019-12-22|96|3550|233129.94999999605|57584|43647|11100|2417|0
111718|20735|2020-02-23|96|1884|70102.09999999971|79375|50630|19675|7621|0
124648|23624|2020-03-12|96|51421|2173226.479999016|86282|56246|21891|7352|0
170436|33998|2019-07-25|96|45689|1998572.4699990281|95867|20434|74163|80|58
73471|20722|2019-06-29|96|75951|4388789.750001211|9651|5972|3480|162|0
48675|14053|2019-07-15|96|62271|2663012.139999266|4627|2349|2162|82|1
92296|18657|2020-03-21|96|437|45619.57000000014|57559|40106|13748|2829|0
204000|38078|2019-07-29|96|65070|2778909.1899993843|118531|22993|94082|155|29
43307|7792|2019-08-24|96|64809|2819096.3399993023|27465|20286|6935|210|0
82843|15399|2019-12-02|96|49480|1953207.1399990642|56093|42904|12179|752|10
112057|20182|2019-12-27|96|48026|2004821.3799990846|79451|57895|16529|4300|0
109670|20017|2019-12-28|96|58731|2525071.699999366|77592|56111|16535|4384|0
82305|15529|2019-11-23|96|68917|2996749.349999438|55909|43828|11870|42|0
74120|20905|2019-06-24|96|63181|3058543.9899992836|9132|5099|3847|153|13
180065|36420|2019-04-25|96|60450|2372012.429999064|16547|10095|5842|552|2
202143|42300|2019-05-07|96|71223|2591812.5899993754|25732|16666|8426|442|99
43531|8060|2019-09-07|96|85826|8498678.910011753|26757|19354|7270|26|0
142492|28633|2019-05-19|96|2747|112639.23999999865|19698|12618|6640|369|7
37086|7300|2019-11-10|96|2414|96883.3099999988|22507|15808|6594|0|0
50129|9537|2019-11-09|96|83603|4152923.160001108|32997|23544|9279|5|0
141804|29880|2019-04-21|96|0||12421|7681|4136|593|0
181718|35576|2019-05-15|96|66228|2590893.359999334|24836|16048|8299|424|2
46262|8157|2019-08-23|96|57881|2398995.49999919|29176|21934|6923|226|0
37976|7264|2019-10-11|96|54126|2374117.0599991786|23424|16884|6467|13|0
76252|13672|2019-12-03|96|47066|1840991.3799992125|52603|40070|11805|485|0
102046|20454|2020-03-19|96|453|38405.15000000028|60957|43901|14138|2213|0
65900|17197|2019-06-19|96|58132|2591939.809999155|7505|3782|3572|122|1
205295|40624|2019-05-02|96|82525|3559322.7000003564|28059|17650|9746|584|2
39063|10625|2019-07-07|96|2533|107063.0199999982|4375|2225|2061|77|0
41201|7940|2019-10-26|96|73918|3256197.2100005127|27343|19349|7864|13|0
29932|5710|2019-09-12|96|47145|1934294.8499991458|19265|14188|5028|1|0
38504|7324|2019-10-09|96|52281|2255049.1699990537|24629|17611|6895|11|0
48579|9754|2019-11-11|96|14661|826385.3499999963|31067|21479|9526|6|0
55060|10110|2019-08-06|96|64491|2712025.7299993765|34122|26822|6498|728|3
40129|7437|2019-11-05|96|50542|2028259.5399989975|26560|18734|7684|38|0
112892|21166|2020-02-13|96|47403|1836574.869999212|77884|51095|19928|5077|1
61529|11356|2019-11-24|96|2056|88609.31999999934|41995|32896|8915|50|0
113262|20523|2020-02-04|96|46638|1816580.8699993198|77147|51615|19521|5289|7
168057|34092|2019-07-23|96|51006|2204445.589998946|93591|19168|73076|130|16
219356|43718|2019-07-22|96|60888|2656734.3999992805|123215|24839|96566|199|51
72122|20575|2019-06-26|96|53822|2607255.529999214|8644|4870|3602|160|0
93206|18928|2020-03-23|96|698|57930.4200000001|55361|37652|14675|2095|0
77188|14052|2019-11-21|96|58549|4874773.450002725|49586|37773|11552|30|0
106526|19429|2020-01-17|96|46807|1969437.959999176|73896|50455|17880|4151|0
40973|7380|2019-09-02|96|56492|2301081.079999065|25965|19251|6539|102|0
196742|40375|2019-07-30|96|61236|2441314.8199992287|118156|24016|86807|6139|17
78939|14224|2019-12-20|96|44930|1764687.739999296|54974|41454|11474|1607|0
40949|7540|2019-10-16|96|47774|1901438.0899991628|24157|17546|6502|23|0
43111|7826|2019-10-23|96|53494|2185124.719998989|21723|15239|6299|10|0
39146|7071|2019-09-06|96|51390|1947107.989999064|24658|17344|7204|17|0
385007|48886|2020-03-27|96|1739|147450.22999999794|243915|160154|61765|15211|0
85585|15777|2019-11-29|96|51044|2239552.5799990958|56415|43743|11861|478|0
84220|15633|2019-12-10|96|47062|1858749.479999147|58052|45127|12184|381|0
107527|19400|2019-12-26|96|44409|1908872.5399991455|76820|56829|15349|3877|0
148980|29604|2019-08-01|96|57917|2298649.0499990312|87124|24335|55860|6017|20
34879|7453|2019-10-07|96|53625|2238783.249999016|20198|14270|5800|9|3
78123|14129|2019-12-18|96|43227|1661254.6099993992|54090|41543|10888|1098|0
35875|6646|2019-09-27|96|50627|2240622.1699990747|23462|16526|6748|44|0
92862|23268|2019-06-05|96|62395|2676797.639998974|10945|5456|5268|181|3
105029|19561|2020-02-06|96|44571|1755103.8199993416|71975|47397|18313|5430|6
57663|16962|2019-07-01|96|62219|2813950.729999306|6748|3592|3050|86|0
229921|43457|2019-05-11|96|109062|7667154.750012482|30487|19834|10018|569|5
167129|33416|2019-05-21|96|61203|2357751.9599990686|21956|14012|7644|242|3
125338|23183|2020-02-21|96|51599|1935364.6899990968|86477|55908|22586|6704|0
146533|27785|2020-03-07|96|79630|4090314.580001416|102424|67782|26408|6924|0
72694|13460|2019-11-26|96|44273|1728930.129999297|49911|38804|10648|310|0
73237|18634|2019-06-11|96|64258|2577820.3299991745|8634|4351|4167|75|4
136564|24241|2020-02-28|96|52320|1980980.009999081|94009|63055|24371|5460|0
55694|15136|2019-07-04|96|56872|2571365.879999249|5884|3058|2737|66|1
464569|83959|2020-05-12|96|64671|3643786.6400009724|307978|170191|110075|413|0
38569|7064|2019-10-01|96|49424|2029653.709999101|24326|17855|6398|29|0
42470|7998|2019-10-21|96|54319|2207062.5999989784|26137|18425|7595|9|0
65648|11815|2019-11-17|96|2008|78764.90999999942|43946|34311|9390|76|0
104257|19275|2020-01-23|96|41659|1761848.1499993473|71896|48536|18427|3953|8
33339|6817|2019-10-08|96|49664|2057549.9299990383|19576|13793|5655|7|0
68562|17796|2019-06-12|96|57733|2355105.4499991015|8088|4088|3828|149|0
57164|10087|2019-08-19|96|67797|2858634.3899995238|36175|27214|8362|537|0
118452|21669|2020-02-03|96|48786|1947074.3799991128|81216|53678|21275|5236|39
91524|16405|2019-12-29|96|1563|61182.61000000015|64860|46201|14284|3731|0
38656|7368|2019-09-28|96|70240|3395598.050000435|25038|18468|6492|35|0
1240065|136959|2020-04-19|96|50|4134.889999999995|833888|464485|267105|10102|0
52083|9294|2019-08-08|96|61337|2626830.589999303|32421|24449|6662|1242|2
67769|18534|2019-06-25|96|55317|2483789.4299990926|8076|4470|3418|164|0
120542|22086|2020-02-01|96|69572|3139932.8399999416|83315|56936|21047|4380|137
172062|34197|2019-05-23|96|62249|2622183.469999071|22458|14455|7767|179|0
71530|12713|2019-11-14|96|48534|2041655.8899990784|47803|37800|9874|20|0
107157|19835|2020-01-31|96|47786|1987102.429999136|73431|48434|18589|4910|861
708170|114757|2020-05-06|96|61822|3497747.5600008126|467798|256421|171661|488|0
191361|38094|2019-05-03|96|76283|3244152.1799999983|25800|17054|8226|472|0
187994|39055|2019-04-29|96|0||25591|16466|8245|810|0
852457|118943|2020-04-28|96|43447|2799229.1899995054|559943|321829|219933|625|0
890230|133075|2020-05-02|96|67345|4471845.850002856|580024|310157|188813|399|0
1998887|183149|2020-04-07|96|10717|824465.0000000314|1244630|649702|379235|54249|15
2306569|199146|2020-04-15|96|25628|2034869.259999929|1499206|660053|49708|68012|0
1225498|120531|2020-04-03|96|8046|630207.3100000425|742119|381748|224882|33048|0
1120934|110937|2020-04-02|96|6227|498794.2300000367|679162|352157|203865|28537|0
1196245|154364|2020-04-24|96|47346|3161983.7900002655|767641|444089|293152|768|21
696952|118053|2020-05-08|96|14765|950092.1299999757|461775|256206|170950|403|0
643411|99573|2020-05-03|96|108|6303.409999999984|445952|243428|157890|282|0
1425324|162137|2020-04-21|96|36482|2557460.5099994047|914526|470940|205413|1144|0
37327|6771|2019-09-18|96|49899|2159176.8299990743|23844|17290|6474|11|0
46487|8581|2019-12-25|96|5|253.68|33303|24214|6802|1953|0
128190|23575|2020-02-10|96|49417|1952897.2499990852|87098|57488|23761|4960|2
162973|34528|2019-07-27|96|70491|3160710.7099997955|94043|21807|71169|75|25
55265|9757|2019-08-16|96|77040|3354302.8800005736|34998|25996|8149|775|0
84700|15625|2019-12-12|96|44695|1771219.6099992578|58138|44534|12202|1161|0
47081|8676|2019-10-28|96|62977|2511449.199999277|31770|22316|9291|50|0
48209|8802|2019-08-09|96|61311|2584848.9899992608|29471|21936|6338|1106|13
143597|31054|2019-06-04|96|60319|2429902.81999904|18524|11408|6766|294|7
56472|15446|2019-07-09|96|59011|2547263.6599992053|6220|3456|2669|66|3
154279|30797|2019-07-26|96|51410|2154395.6799989054|88062|17849|69031|125|11
75100|13498|2019-11-28|96|45052|1749336.4499992959|51253|39581|10938|489|0
68016|12512|2019-12-01|96|2797|143906.24999999802|45608|34937|9934|438|0
52592|14334|2019-06-23|96|2798|135132.45999999778|6721|3626|2951|129|0
42140|7944|2019-11-12|96|59944|2501903.819999216|28234|19270|8788|18|0
37030|6832|2019-09-10|96|50024|2017374.82999908|23877|17471|6310|6|0
63217|16512|2019-06-18|96|55716|2311907.9199990174|7543|3792|3542|155|12
69060|18134|2019-06-17|96|60040|2541799.859999183|7989|3950|3871|137|0
27890|5119|2019-09-15|96|1862|69910.77999999988|17976|13232|4663|6|0
229949|47344|2019-05-08|96|52317|5457840.550002977|29114|18676|9622|638|78
44354|8425|2019-10-19|96|92600|8662215.060013603|27373|20082|7211|26|0
39007|7266|2019-10-25|96|57312|2313566.449999151|25579|18402|7083|6|0
48959|9788|2019-11-01|96|18519|1112169.6099999174|30753|21556|9082|14|0
40528|7998|2019-10-31|96|60948|2431727.9899992533|26123|18442|7551|4|0
43399|8217|2019-10-30|96|57093|2217312.909998959|29340|20548|8685|13|0
42733|11179|2019-06-16|96|2416|97289.68999999847|5157|2501|2524|116|1
80157|14532|2020-01-05|96|1526|54434.75999999993|56795|40762|12812|2724|0
112698|20786|2020-02-05|96|46184|1829304.2799992638|76666|51144|19410|5214|5
157957|34714|2019-04-30|96|80347|3396524.4600001923|21111|13754|6806|485|0
89960|16788|2020-03-22|96|160|11326.269999999993|58864|41603|13332|3181|0
106405|18877|2020-01-16|96|41344|1668898.4999993956|73987|51598|17367|3532|0
38655|7075|2019-09-03|96|50982|2011300.7199990856|24227|17622|6395|166|0
207069|42352|2019-07-31|96|59795|2375412.119999154|120476|24830|85028|9520|27
36328|6513|2019-10-27|96|2301|109739.88999999833|24443|17364|6954|6|0
40779|7656|2019-10-14|96|50485|2090814.299999057|25148|17820|7175|22|12
87425|16572|2019-11-30|96|70090|3209721.9800001974|57367|44644|11914|567|0
136252|25380|2020-03-10|96|50045|2046061.6099990627|94417|61869|24801|6356|0
78669|14014|2019-11-15|96|52822|2286068.9699989883|52447|41590|10723|24|0
198624|38140|2019-05-27|96|63997|2588193.209999094|26074|17077|8581|304|15
60521|15477|2019-06-09|96|2638|104179.64999999896|6905|3487|3307|59|5
80249|14447|2019-12-19|96|41668|1580727.969999462|56256|41985|12091|1566|0
73780|13695|2019-12-15|96|3864|240960.93999999468|51117|39579|9883|1306|0
116984|21257|2020-03-24|96|638|53813.25000000005|72846|48618|18527|4204|2
148135|27594|2020-03-09|96|55624|2254758.9399990137|102646|67398|26506|7402|0
157128|31336|2019-05-12|96|3083|122187.52999999824|21636|13862|7236|460|2
118540|21673|2020-01-27|96|45617|1862058.389999235|81555|54981|21198|4498|0
92142|17215|2019-12-07|96|72005|3382109.6500003007|63760|50405|12756|422|0
35203|6446|2019-09-26|96|46462|2025080.45999914|23115|16523|6468|47|0
108286|19846|2020-02-16|96|1884|72117.44000000003|76288|49533|18630|6312|3
